ts,sub_date,elo
2026-09-03 14:07,2026-09-03 11:28,1553.9
2026-09-03 22:25,2026-09-03 11:28,1540.1
2026-09-03 23:43,2026-09-03 11:28,1540.1
2026-09-04 02:16,2026-09-03 11:28,1538.1
2026-09-04 02:24,2026-09-03 11:28,1541.5
2026-09-04 06:24,2026-09-03 11:28,1535.6
2026-09-04 11:23,2026-09-03 11:28,1520.9
2026-09-04 14:09,2026-09-03 11:28,1518.5
2026-09-04 15:39,2026-09-03 11:28,1518.1
2026-09-04 18:24,2026-09-03 11:28,1502.9
